1162	21131,74
1095	18201,63
69	15325,07
1002	13915,33
976	13914,77
131	8082,06
160	7296,44
164	6269,33
790	4592,57
645	1279,58
600	905,12
612	882,34
48	783,75
120	741,58
49	633,06
548	480,15
484	256,59
85	254,94
307	219,28
114	154,39
227	116,78
405	115,43
410	114,83
197	94,92
153	81,24
375	77,44
383	76,40
148	72,09
363	61,82
339	49,65
324	45,83
192	33,23
289	33,11
193	29,07
209	26,84
297	24,07
289	23,22
268	20,93
264	19,17
252	18,33
249	17,67
218	15,14
273	12,89
193	8,55
13	8,46
169	5,86
153	5,03
114	4,82
81	4,07
43	2,56
